!Scalelength     :       8.9000 KPC
!Central Density :     351.0154 MSUN/PC**2
!Cutoff Radius   :      35.6000 KPC
!Softening       :       1.7800 KPC
!Z-Density law   : SECH-SQUARED
!Z Scaleheight   :       1.7800 KPC
!Accuracy        :            1
!Mass of disk    :     160.0000 10**9 MSUN
! 
!   Radius      Density      Velocity   
!    KPC       MSUN/PC**2     KM/SEC    
!---------------------------------------
    1.00000   313.71050      27.841135
    1.10000   310.20539      30.346892
    1.20000   306.73945      32.808409
    1.30000   303.31223      35.226823
    1.40000   299.92330      37.603232
    1.50000   296.57224      39.938698
    1.60000   293.25861      42.234242
    1.70000   289.98202      44.490847
    1.80000   286.74203      46.708542
    1.90000   283.53824      48.890139
    2.00000   280.37025      51.035516
    2.10000   277.23765      53.145508
    2.20000   274.14006      55.220920
    2.30000   271.07707      57.262521
    2.40000   268.04831      59.271055
    2.50000   265.05339      61.247234
    2.60000   262.09193      63.191746
    2.70000   259.16356      65.104725
    2.80000   256.26790      66.987913
    2.90000   253.40461      68.841344
    3.00000   250.57330      70.665609
    3.10000   247.77363      72.461283
    3.20000   245.00524      74.228918
    3.30000   242.26778      75.969049
    3.40000   239.56090      77.682194
    3.50000   236.88427      79.368853
    3.60000   234.23755      81.029212
    3.70000   231.62040      82.664374
    3.80000   229.03248      84.274459
    3.90000   226.47349      85.859912
    4.00000   223.94309      87.421160
    4.10000   221.44095      88.958622
    4.20000   218.96678      90.472703
    4.30000   216.52025      91.963798
    4.40000   214.10105      93.432290
    4.50000   211.70889      94.878366
    4.60000   209.34345      96.302788
    4.70000   207.00444      97.705698
    4.80000   204.69157      99.087440
    4.90000   202.40453     100.448353
    5.00000   200.14306     101.788763
    5.10000   197.90684     103.108993
    5.20000   195.69562     104.409353
    5.30000   193.50910     105.690151
    5.40000   191.34701     106.951559
    5.50000   189.20907     108.194147
    5.60000   187.09503     109.418049
    5.70000   185.00460     110.623544
    5.80000   182.93753     111.810905
    5.90000   180.89356     112.980398
    6.00000   178.87242     114.132283
    6.10000   176.87387     115.266814
    6.20000   174.89765     116.384242
    6.30000   172.94350     117.484809
    6.40000   171.01119     118.568756
    6.50000   169.10047     119.636317
    6.60000   167.21110     120.687721
    6.70000   165.34284     121.723194
    6.80000   163.49546     122.742957
    6.90000   161.66871     123.747227
    7.00000   159.86237     124.736217
