#Z-Density law   : SECH-SQUARED
#Z Scaleheight   :       0.8800 KPC
#Accuracy        :            1
#Mass of disk    :       1.0000 10**9 MSUN
# 
#   Radius      Density      Velocity   
#    KPC       MSUN/PC**2     KM/SEC    
#---------------------------------------
    0.64000    19.97457       7.363894
    1.74000    12.95008      15.603741
    2.83000     8.43001      20.369831
    3.96000     5.38426      23.256499
    5.10000     3.06020      24.171761
    6.23000     1.90217      23.787304
    7.36000     1.26863      23.107572
    8.49000     0.90764      22.661856
    9.63000     0.59140      21.992245
   10.76000     0.39389      21.249411
   11.89000     0.24810      20.455683
   13.02000     0.15407      19.613283
   14.16000     0.09610      18.774846
   15.29000     0.06198      18.004790
   16.42000     0.03973      17.307298
   17.55000     0.02547      16.686916
   18.69000     0.00000      16.082031
   19.82000     0.00000      15.435923
