#Z-Density law   : SECH-SQUARED
#Z Scaleheight   :       0.8800 KPC
#Accuracy        :            1
#Mass of disk    :       1.1000 10**9 MSUN
# 
#   Radius      Density      Velocity   
#    KPC       MSUN/PC**2     KM/SEC    
#---------------------------------------
    0.64000     0.00000      -4.250203
    1.74000     8.18889      -9.599385
    2.83000     9.35750      12.304293
    3.96000     6.79462      19.745570
    5.10000     4.10437      22.762641
    6.23000     2.65721      23.383626
    7.36000     1.81618      23.322206
    8.49000     1.31767      23.443376
    9.63000     0.86388      23.064525
   10.76000     0.57743      22.480542
   11.89000     0.36433      21.741751
   13.02000     0.22647      20.884729
   14.16000     0.14133      19.996693
   15.29000     0.09119      19.165009
   16.42000     0.05846      18.408761
   17.55000     0.03748      17.730165
   18.69000     0.00000      17.070501
   19.82000     0.00000      16.332505
