#UGC 10075 #GHASP survey https://academic.oup.com/mnras/article/388/2/500/976912#86133715
# Rad	Vobs	errV
# kpc	km/s	km/s
0.05	-38	7
0.1	25	7
0.14	4	6
0.2	0	7
0.26	-4	7
0.26	17	4
0.4	38	7
0.4	24	2
0.51	33	4
0.52	55	5
0.6	59	4
0.62	54	6
0.7	70	7
0.74	50	7
0.84	78	2
0.84	65	5
0.96	83	5
0.97	85	7
1.06	80	3
1.08	85	7
1.17	96	5
1.17	84	5
1.28	87	2
1.29	94	3
1.4	90	4
1.4	101	4
1.5	96	3
1.51	96	2
1.61	100	2
1.64	100	2
1.74	96	2
1.75	101	2
1.86	110	2
1.86	92	3
1.97	106	3
1.98	102	5
2.08	112	3
2.1	102	3
2.19	124	2
2.19	109	3
2.3	127	2
2.31	113	2
2.39	126	3
2.43	111	2
2.49	135	2
2.54	119	2
2.57	137	3
2.64	137	3
2.64	124	2
2.7	140	2
2.72	127	2
2.76	141	2
2.8	125	2
2.85	140	1
2.88	128	1
2.93	139	2
2.96	132	2
3.03	144	3
3.03	132	1
3.1	137	2
3.11	145	2
3.17	134	1
3.2	145	2
3.22	133	1
3.3	137	1
3.31	151	2
3.37	136	2
3.41	150	2
3.44	137	2
3.52	142	2
3.53	150	3
3.59	143	2
3.64	142	2
3.65	148	2
3.7	144	1
3.76	142	2
3.78	148	2
3.8	147	1
3.86	148	1
3.9	144	2
3.92	148	2
3.98	151	2
4.02	144	3
4.07	146	2
4.14	147	2
4.17	152	2
4.25	137	3
4.3	149	2
4.39	139	2
4.47	150	2
4.51	137	3
4.64	137	1
4.64	152	2
4.75	144	2
4.76	150	2
4.86	141	3
4.91	153	3
4.96	138	2
5.02	140	2
5.04	160	2
5.11	145	2
5.19	144	2
5.19	157	3
5.27	145	2
5.33	144	2
5.33	161	3
5.4	143	2
5.49	136	2
5.51	158	2
5.57	143	2
5.65	151	2
5.74	147	2
5.76	159	3
5.84	148	2
5.94	152	3
6.05	151	2
6.09	158	3
6.14	157	2
6.2	151	1
6.28	155	2
6.34	157	2
6.4	157	2
6.42	164	2
6.46	159	1
6.51	156	1
6.55	160	1
6.6	159	1
6.61	160	1
6.64	162	1
6.68	163	1
6.73	159	2
6.78	162	1
6.78	162	3
6.84	166	1
6.91	166	1
7	166	2
7.15	162	3
7.31	162	2
7.51	179	2
8.7	163	3
8.88	168	2
9.59	166	1
9.89	170	3
