#UGC 5353 #SPARC 2016 https://iopscience.iop.org/article/10.3847/0004-6256/152/6/157
# Rad	Vobs	errV
# kpc	km/s	km/s
0.13	232	33.4
0.25	233	16.9
0.38	234	14.6
0.51	235	10.6
0.63	236	9.12
0.76	237	10.3
0.89	238	9.95
1.01	239	3.51
1.14	240	3.18
1.27	240	5.19
1.39	241	3.54
1.52	242	2.6
1.65	242	1.75
1.77	243	1.94
1.9	244	3.09
2.03	244	1.6
2.16	244	3
2.28	245	2.19
2.41	245	3.01
2.54	246	2.64
2.66	246	2.38
2.79	246	3.72
2.92	247	3.54
3.04	247	3.74
3.17	247	5.11
3.3	247	3.63
3.42	247	3.84
3.55	248	5.12
3.68	248	2.77
3.8	248	3.24
3.93	248	6.79
4.06	248	8.39
4.18	248	2.73
4.31	248	13.7
4.44	248	4.89
4.56	248	5.71
4.69	248	15.1
4.82	248	10.5
4.94	248	1.58
4.99	248	4.77
5.07	248	4.36
5.2	248	8.45
5.45	247	8.25
5.58	247	2.34
5.7	247	2.34
5.83	247	6.13
6.47	247	6.89
6.59	246	5.95
6.66	246	2.29
6.72	246	4.73
6.85	246	3.02
6.97	246	5.81
7.1	246	6.32
7.23	246	8.92
8.32	246	2.13
10	245	2.18
11.61	245	0.94
13.35	246	2.02
14.98	245	1.33
16.61	245	1.36
18.34	245	1.59
19.97	245	2.03
21.6	245	2.36
23.33	244	4.61
26.7	243	10.6
29.95	239	17
33.32	231	18.3
36.68	219	12.1
39.94	210	7.5
43.3	210	3.56
46.67	212	2.64
49.92	213	6.5
53.29	218	6.53
