# Distance = 28.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.41	33.20	11.60	2.21	28.95	0.00	455.28	0.00
0.98	50.40	11.80	4.41	47.60	0.00	284.50	0.00
1.78	53.90	9.75	6.75	62.09	0.00	213.32	0.00
2.69	67.60	5.10	8.55	75.48	0.00	152.20	0.00
3.36	81.70	5.06	9.18	82.21	0.00	142.61	0.00
4.39	102.00	5.35	9.29	86.87	0.00	105.73	0.00
5.65	116.00	6.44	9.50	92.23	0.00	92.69	0.00
6.34	132.00	9.10	10.22	96.19	0.00	89.82	0.00
6.89	137.00	5.25	11.87	100.53	0.00	87.61	0.00
8.34	154.00	4.20	17.23	113.81	0.00	78.45	0.00
10.04	163.00	3.28	24.23	128.72	0.00	58.05	0.00
11.65	170.00	2.41	30.75	133.41	0.00	39.79	0.00
13.36	175.00	2.18	36.20	132.99	0.00	23.18	0.00
15.06	177.00	2.23	39.42	128.51	0.00	15.89	0.00
16.67	178.00	2.03	40.49	124.23	0.00	10.92	0.00
