# Distance = 80.6 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.39	17.40	30.40	-1.11	12.25	0.00	99.83	0.00
1.18	46.30	37.10	-2.76	28.99	0.00	60.79	0.00
1.95	69.10	13.10	-2.63	34.78	0.00	34.20	0.00
2.74	85.20	6.20	-0.03	37.08	0.00	27.14	0.00
3.53	93.20	6.20	3.84	41.20	0.00	22.68	0.00
4.30	100.00	12.40	7.34	44.37	0.00	16.78	0.00
5.09	108.00	6.20	9.92	45.35	0.00	11.52	0.00
5.87	112.00	6.20	12.15	44.94	0.00	9.36	0.00
6.40	113.00	24.90	13.65	45.12	0.00	8.08	0.00
7.44	113.00	15.50	17.06	45.76	0.00	6.21	0.00
8.21	112.00	13.10	19.87	46.01	0.00	4.32	0.00
9.00	111.00	26.40	22.99	44.52	0.00	3.01	0.00
9.72	111.00	19.40	26.10	43.69	0.00	2.45	0.00
11.79	113.00	12.50	34.23	40.77	0.00	1.17	0.00
17.63	118.00	14.60	36.03	33.12	0.00	0.00	0.00
