# Distance = 100.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.77	35.10	3.96	2.22	20.98	133.76	335.17	2678.70
1.59	77.90	3.95	3.89	40.96	176.62	322.39	948.63
2.36	115.00	6.70	4.02	58.24	176.92	310.83	463.05
3.13	156.00	3.16	0.90	74.68	172.53	299.69	349.20
3.95	192.00	3.14	0.00	91.45	173.49	288.26	188.22
4.73	204.00	2.90	0.00	107.35	174.08	276.77	83.53
5.50	209.00	3.36	0.00	120.52	167.74	257.54	24.93
6.27	220.00	3.25	0.00	132.68	159.21	255.77	7.38
7.08	231.00	3.49	0.00	150.86	150.44	254.06	2.06
7.86	235.00	4.65	0.24	170.80	142.84	239.48	0.60
8.66	245.00	6.00	0.00	187.59	136.33	211.03	0.17
9.45	246.00	5.57	3.80	199.82	130.53	180.74	0.05
10.24	239.00	6.95	0.00	208.12	125.41	151.13	0.01
11.02	240.00	7.16	3.35	212.98	120.90	124.69	0.00
11.79	240.00	4.85	15.63	214.90	116.92	101.97	0.00
12.47	246.00	7.68	22.51	214.77	113.67	85.47	0.00
13.34	241.00	6.21	30.77	213.03	109.94	69.15	0.00
14.11	250.00	5.62	37.16	210.67	106.85	58.36	0.00
14.59	242.00	5.10	39.71	209.26	105.08	53.00	0.00
14.98	244.00	7.41	41.88	208.03	103.70	48.81	0.00
15.75	248.00	5.08	44.73	205.55	101.13	41.91	0.00
16.52	249.00	5.22	46.30	203.07	98.75	35.71	0.00
17.10	246.00	6.35	46.79	201.06	97.06	31.62	0.00
17.88	241.00	16.20	46.99	198.19	94.92	26.82	0.00
18.65	247.00	14.60	47.18	195.23	92.94	22.81	0.00
19.62	234.00	20.90	47.77	191.47	90.61	18.65	0.00
20.78	249.00	10.00	51.51	186.83	88.05	14.60	0.00
22.13	236.00	16.10	57.31	181.40	85.32	10.95	0.00
23.00	245.00	22.10	59.87	177.88	83.69	9.17	0.00
23.58	243.00	4.20	61.24	175.64	82.65	8.14	0.00
25.03	238.00	7.76	61.05	170.07	80.22	6.11	0.00
25.90	247.00	6.14	60.16	166.98	78.87	5.18	0.00
