# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.87	24.30	3.90	0.00	35.64	0.00	188.65	0.00
1.74	49.60	3.90	0.00	47.54	0.00	151.56	0.00
2.61	73.60	5.20	0.00	60.47	0.00	133.11	0.00
3.50	101.00	4.40	7.38	73.72	0.00	113.10	0.00
4.37	107.00	3.50	13.36	85.03	0.00	102.47	0.00
5.24	115.00	3.50	14.01	96.27	0.00	83.86	0.00
6.11	123.00	3.90	12.18	104.34	0.00	66.19	0.00
6.98	130.00	3.90	18.32	107.50	0.00	47.17	0.00
7.85	134.00	3.50	21.34	109.28	0.00	36.52	0.00
8.72	136.00	3.90	21.77	108.62	0.00	26.62	0.00
9.60	137.00	4.00	27.37	107.75	0.00	19.83	0.00
10.47	136.00	3.50	29.53	106.05	0.00	13.97	0.00
11.35	137.00	3.50	32.11	103.37	0.00	9.49	0.00
12.19	137.00	3.50	32.87	100.58	0.00	6.45	0.00
13.12	137.00	5.00	30.82	96.92	0.00	3.54	0.00
13.94	138.00	5.00	32.01	93.04	0.00	1.82	0.00
14.86	137.00	7.50	31.79	88.38	0.00	0.79	0.00
