# Distance = 20.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.11	56.20	28.50	-1.03	10.27	44.15	655.22	4452.47
0.23	64.60	22.70	-1.23	20.21	75.69	599.52	2773.90
0.34	70.20	17.20	-1.32	28.30	90.09	552.64	1731.65
0.46	71.60	11.70	-1.38	36.17	97.29	505.66	1079.38
0.57	71.00	11.30	-1.41	42.64	98.40	466.11	777.25
0.69	69.00	9.37	-1.36	48.95	99.30	426.49	601.37
0.80	67.70	6.23	-1.23	54.16	100.36	393.14	459.37
0.92	66.90	4.00	-0.91	59.24	100.84	359.72	348.84
1.03	66.60	3.10	0.49	63.40	101.52	331.59	233.68
1.14	66.80	3.02	1.27	67.15	100.91	305.66	159.27
1.26	67.40	3.09	1.89	70.78	99.65	279.67	96.37
1.37	68.30	2.71	2.47	73.73	97.83	257.80	50.26
1.49	69.60	2.75	2.98	76.63	95.14	239.14	24.69
1.61	71.20	2.61	3.52	79.45	92.26	221.75	12.13
1.71	72.90	4.09	4.06	81.60	89.85	205.51	6.74
1.83	74.90	6.17	4.62	83.69	87.09	183.40	3.33
1.94	77.00	7.74	5.19	85.04	84.69	167.21	1.73
2.06	79.20	5.36	5.77	86.25	82.25	154.41	0.85
2.18	81.40	6.34	6.34	87.49	79.96	146.81	0.42
2.29	83.60	2.03	6.95	88.91	78.04	140.69	0.22
2.40	85.70	1.94	7.56	90.40	76.26	131.91	0.11
2.52	87.80	1.70	8.20	91.90	74.41	120.79	0.06
2.63	89.70	2.16	8.89	92.95	72.86	108.91	0.03
2.75	91.40	1.88	9.58	93.65	71.23	96.05	0.01
2.86	92.80	3.36	10.31	93.97	69.85	86.65	0.01
2.98	94.10	1.40	11.11	94.10	68.43	77.70	0.00
3.09	95.20	5.51	11.94	93.98	67.21	70.44	0.00
3.20	96.10	6.23	12.77	93.74	66.06	64.18	0.00
4.52	97.40	2.30	19.31	88.08	55.57	28.91	0.00
4.69	96.90	11.70	19.73	87.36	54.55	26.51	0.00
6.03	96.80	2.30	22.95	81.50	48.11	14.16	0.00
7.53	105.00	1.02	26.37	76.78	43.05	8.19	0.00
8.58	110.00	7.12	28.87	73.00	40.33	5.41	0.00
8.70	110.00	5.26	29.07	72.69	40.05	5.18	0.00
8.82	110.00	5.16	29.38	72.31	39.78	4.95	0.00
9.03	111.00	0.82	29.90	71.64	39.31	4.58	0.00
9.05	111.00	7.81	29.90	71.58	39.27	4.54	0.00
10.53	112.00	1.43	33.33	67.30	36.41	2.67	0.00
12.07	112.00	1.21	36.03	63.57	34.00	1.50	0.00
13.58	114.00	1.35	37.90	59.74	32.06	0.69	0.00
15.09	118.00	1.36	39.04	56.25	30.41	0.37	0.00
16.60	122.00	1.44	39.66	53.26	29.00	0.20	0.00
18.11	125.00	1.64	40.08	50.67	27.76	0.11	0.00
19.62	128.00	1.97	40.18	48.42	26.67	0.06	0.00
21.02	131.00	1.81	39.87	46.57	25.77	0.03	0.00
24.04	127.00	1.93	37.17	43.23	24.09	0.01	0.00
27.06	124.00	1.92	34.89	40.56	22.71	0.00	0.00
